ID;token;entity_type
104;عشاق;O
105;الطبيعه;O
106;الخلابه;O
107;تفوت;O
108;فرصه;O
109;زياره;O
110;المدينه;O
111;الرائعه;O
112;والاستمتاع;O
113;بمجموعه;O
114;اروع;O
115;المناظر;O
116;الطبيعيه;O
117;الخلابه;O
118;مدينه;O
119;غردايه;B-LOC
120;واحده;O
121;المدن;O
122;الخماسيه;O
123;وادي;B-LF
124;المزاب;I-LF
125;الصحراوي;I-LF
126;احد;O
127;مواقع;O
128;التراث;O
129;العالمي;O
130;لليونسكو;O
131;الجزائر;B-LOC
132;فهي;O
133;واحده;O
134;خمس;O
135;بلدات;O
136;بنيت;O
137;الوادي;O
138;حوالي;O
139;الف;O
140;سنه;O
141;تاسست;O
142;طائفه;O
143;المزابين;O
144;والاباضين;O
145;مدينه;O
146;غردايه;B-LOC
147;نقطه;O
148;محوريه;O
149;بارزه;O
150;لانتاج;O
151;التمور;O
152;والسجاد;O
153;تعد;O
154;غردايه;B-LOC
155;واحده;O
156;افضل;O
157;المدن;O
158;الجزائر;B-LOC
159;وتنقسم;O
160;ثلاث;O
161;مناطق;O
162;مسوره;O
163;وهذه;O
164;المدينه;O
165;المحصنه;O
166;الفريده;O
167;والجذابه;O
168;مركز;O
169;تاريخي;O
170;وبها;O
171;مسجد;O
172;مثير;O
173;للاهتمام;O
174;بنيي;O
175;الطراز;O
176;الهرمي;O
177;تنه;O
178;ولايه;O
179;جزائريه;O
180;توجد;O
181;شرق;O
182;الجزائر;B-LOC
183;تقع;O
184;كتله;O
185;جبليه;O
186;وتعتبر;O
187;عاصمه;O
188;اوراس;B-LOC
189;منطقه;O
190;جبليه;O
191;غنيه;O
192;بمواقعها;O
193;الطبيعيه;O
194;وتاريخها;O
195;يعود;O
196;الاف;O
197;السنين;O
198;وتعتبر;O
199;باتنه;O
200;واحده;O
201;ابرز;O
202;وجهات;O
203;السياحه;O
204;الجزائر;B-LOC
205;تتمتع;O
206;ولايه;B-LOC
207;باتنا;I-LOC
208;بموقع;O
209;اثري;O
210;كبير;O
211;معروف;O
212;جميع;O
213;انحاء;O
214;العالم;O
215;المدينه;O
216;القديمه;O
217;الرومانيه;O
218;تيمقاد;O
219;مدينه;O
220;قديمه;O
221;محفوظه;O
222;بشكل;O
223;مثير;O
224;للاهتمام;O
225;وتم;O
226;ادراجها;O
227;التراث;O
228;العالمي;O
229;المصنف;O
230;اليونسكو;O
231;تتميز;O
232;باتنه;B-LOC
233;بطبيعتها;O
234;الخلابه;O
235;وتضاريسها;O
236;المتنوعه;O
237;الجبال;B-LF
238;والغابات;B-LF
239;علاوه;O
240;تقع;O
241;باتنه;B-LOC
242;منطقه;O
243;جبال;B-LF
244;الاوراس؛;I-LF
245;منطقه;O
246;رائعه;O
247;تحتوي;O
248;اوديه;B-LF
249;خصبه;O
250;ومراعي;O
251;خضراء;O
252;تشتهر;O
253;باتنه;B-LOC
254;بمجموعه;O
255;المباني;O
256;الاثريه;O
257;المزخرفه;O
258;الطراز;O
259;المعماري;O
260;الروماني;O
261;يظهر;O
262;خلال;O
263;اسقف;O
264;واعمده;O
265;المنازل;O
266;تقع;O
267;مدينه;O
268;بنغويلا;B-LOC
269;غرب;O
270;انغولا;O
271;خليج;B-LF
272;يحمل;O
273;نفس;O
274;الاسم;O
275;وتعد;O
276;واحده;O
277;اجمل;O
278;الوجهات;O
279;السياحيه;O
280;البلاد;O
281;وقديما;O
282;اقتصاد;O
283;المدينه;O
284;يعتمد;O
285;التعدين;O
286;تجاره;O
287;الرقيق;O
288;كوبا;B-LOC
289;والبرازيل;B-LOC
290;وحاليا;O
291;يتم;O
292;الترويج;O
293;لهذه;O
294;المدينه;O
295;بصفتها;O
296;وجهه;O
297;سياحيه;O
298;واعده;O
299;وهناك;O
300;خط;O
301;سكه;O
302;حديد;O
303;دولي;O
304;بالقرب;O
305;المدينه;O
306;وتتميز;O
307;المدينه;O
308;بمناظر;O
309;طبيعيه;O
310;خلابه;O
311;ويغلب;O
312;الطراز;O
313;المعماري;O
314;البرتغالي;O
315;وتشتهر;O
316;المدينه;O
317;بشواطئها;O
318;الجميله;O
319;تعد;O
320;ملاذا;O
321;هادئا;O
322;للراحه;O
323;والاسترخاء;O
324;مقاطعه;O
325;هوامبو;O
326;مقاطعه;O
327;كبيره;O
328;انغولا;O
329;تضم;O
330;11;O
331;بلديه;O
332;ويبلغ;O
333;عدد;O
334;سكانها;O
335;حوالي;O
336;17;O
337;مليون;O
338;نسمه;O
339;وتتميز;O
340;هوامبو;O
341;بمناخها;B-WH
342;الاستوائي;I-WH
343;فهناك;O
344;موسم;O
345;جاف;B-WH
346;وبارد;B-WH
347;وموسم;O
348;حار;B-WH
349;وممطر;I-WH
350;يعد;O
351;الصدع;O
352;الجبلي;O
353;احد;O
354;اروع;O
355;المعالم;O
356;الطبيعيه;O
357;انغولا;O
358;يقع;O
359;مدينتي;O
360;لوبانغو;O
361;وناميبي;O
362;ارتفاع;O
363;2,600;O
364;متر;O
365;فوق;O
366;مستوي;O
367;سطح;O
368;البحر;O
369;وعلي;O
370;الارتفاع;O
371;الاستمتاع;O
372;بمجموعه;O
373;اروع;O
374;الاطلالات;O
375;الخلابه;O
376;افريقيا;B-LOC
377;وتعد;O
378;المنطقه;O
379;وجهه;O
380;مثاليه;O
381;لعشاق;O
382;الاثاره;O
383;والتنزه;O
384;سيرا;O
385;الاقدام;O
386;وبالاضافه;O
387;التكوينات;O
388;الصخريه;O
389;مساحات;O
390;شاسعه;O
391;الاراضي;O
392;العشبيه;O
393;وغابات;B-LF
394;السافانا;I-LF
395;تحظي;O
396;بوركينا;B-LOC
397;فاسو;I-LOC
398;بطقس;B-WH
399;معتدل;I-WH
400;اغلب;O
401;ايام;O
402;السنه;O
403;ومناخها;B-WH
404;استوائي;I-WH
405;وتشهد;O
406;هطول;B-WH
407;الامطار;I-WH
408;الكثيفه;O
409;خلال;O
410;4;O
411;اشهر;O
412;العام;O
413;وتحديدا;O
414;الفتره;O
415;شهر;O
416;مايو;O
417;وحتي;O
418;سبتمبر;O
419;تتمتع;O
420;الكاميرون;B-LOC
421;بمناخ;B-WH
422;مداري;I-WH
423;حار;I-WH
424;مدار;O
425;السنه;O
426;يتناقص;O
427;هطول;B-WH
428;الامطار;I-WH
429;الجنوب;O
430;الشمال;O
431;ويستمر;O
432;موسم;O
433;الامطار;B-WH
434;ابريل;O
435;نوفمبر;O
436;ويستمر;O
437;موسم;O
438;الجفاف;B-WH
439;نسبيا;O
440;ديسمبر;O
441;مارس;O
442;طول;O
443;الساحل;O
444;يبلغ;O
445;متوسط;O
446;هطول;B-WH
447;الامطار;B-WH
448;10,00;O
449;ملم;O
450;سنويا;O
451;ساحل;O
452;الكاميرون;B-LOC
453;الطبيعه;O
454;الجميله;O
455;الهادئه;O
456;ويتسم;O
457;بالرمال;O
458;البركانيه;O
459;اللون;O
460;الاسود;O
461;والرمال;O
462;الناعمه;O
463;شاطئ;B-LF
464;يمبي;I-LF
465;يعد;O
466;اجمل;O
467;المعالم;O
468;السياحيه;O
469;البلاد؛;O
470;لاحتوائه;O
471;رمالا;O
472;بركانيه;O
473;متميزه;O
474;شاطئ;B-LF
475;كريبي;I-LF
476;يحتوي;O
477;الكثير;O
478;المناظر;B-LF
479;الطبيعيه;I-LF
480;الخلابه;O
481;والرمال;O
482;البيضاء;O
483;الناصعه;O
484;بياضها;O
485;تشبه;O
486;حباب;O
487;اللؤلؤ;O
488;يمتاز;O
489;الشاطئ;B-LF
490;بالهدوء;O
491;اذ;O
492;يبعد;O
493;ضجيج;O
494;المد;O
495;تعد;O
496;جبال;B-LF
497;دراكنزبرج;I-LF
498;واحده;O
499;اكثر;O
500;الوجهات;O
501;السياحيه;O
502;شعبيه;O
503;لقضاء;O
504;الاجازات;O
505;جنوب;O
506;افريقيا;B-LOC
507;تعد;O
508;موطنا;O
509;لاعلي;O
510;قمم;O
511;البلاد;O
512;وموطنا;O
513;لاكثر;O
514;800;O
515;نوع;O
516;النباتات;O
517;المزهره;O
518;ويمكن;O
519;رؤيه;O
520;العديد;O
521;المناظر;O
522;الطبيعيه;O
523;الجبال;B-LF
524;تعد;O
525;كيب;B-LOC
526;تاون;I-LOC
527;ثاني;O
528;اكبر;O
529;مستوطنه;O
530;جنوب;O
531;افريقيا;B-LOC
532;تضم;O
533;المدينه;O
534;العديد;O
535;المناظر;O
536;الطبيعيه;O
537;والاثريه;O
538;الجذب;O
539;السياحي;O
540;العالي;O
541;اذ;O
542;الاستمتاع;O
543;المدينه;O
544;طريق;O
545;التلفريك;O
546;لمشاهده;O
547;القمم;O
548;والمرتفعات;O
549;مشاهده;B-AC
550;الحيتان;I-AC
551;المنطلقه;O
552;ميناء;O
553;المدينه;O
554;تعرف;O
555;مدينه;O
556;بولاوايو;B-LOC
557;باسم;O
558;مدينه;O
559;الملوك;O
560;ثاني;O
561;كبر;O
562;مدينه;O
563;زيمبابوي;B-LOC
564;وتعد;O
565;اماكن;O
566;السياحه;O
567;زيمبابوي;B-LOC
568;الشهيره;O
569;تقع;O
570;ارتفاع;O
571;عال;O
572;ولها;O
573;تلال;B-LF
574;متموجه;I-LF
575;ويعد;O
576;اهم;O
577;مناطق;O
578;الجذب;O
579;بولاوايو;O
580;منتزه;O
581;ماتوبو;O
582;الوطني;O
583;يثعتبر;O
584;واحد;O
585;اقدم;O
586;البيوت;O
587;للحضاره;O
588;الانسانيه;O
589;يتضح;O
590;اللوحات;O
591;الكهوف;O
592;وهذه;O
593;الحديقه;O
594;تتمتع;O
595;بتكوينات;O
596;صخريه;O
597;عجيبه;O
598;مختلف;O
599;الاحجام;O
600;وتجذب;O
601;متسلقي;O
602;الصخور;O
603;مشاهده;B-AC
604;النسور;I-AC
605;السوداء;I-AC
606;واكتشاف;B-AC
607;الحياه;I-AC
608;البريه;I-AC
609;بالاضافه;O
610;زياره;B-AC
611;متحف;I-AC
612;التاريخ;I-AC
613;الطبيعي;O
614;فضلا;O
615;الذهاب;O
616;اطلال;O
617;خامي;O
618;يعد;O
619;موقع;O
620;للتراث;O
621;العالمي;O
622;لليونسكو;O
623;تشينهوي;O
624;تقع;O
625;طول;O
626;ضفاف;O
627;نهر;B-LF
628;مانيام;I-LF
629;جعل;O
630;سحرا;O
631;خاصا;O
632;تعتبر;O
633;اهم;O
634;مدن;O
635;السياحه;O
636;زيمبابوي;B-LOC
637;واكثرها;O
638;زياره;O
639;يوجد;O
640;العديد;O
641;الانشطه;B-AC
642;الترفيهيه;I-AC
643;والرياضات;O
644;المثيره;O
645;يمكنك;O
646;الاستمتاع;O
647;داخل;O
648;مدينه;O
649;تشينهوي;B-LOC
650;اهمها;O
651;القيام;O
652;برحله;B-AC
653;نهاريه;I-AC
654;كهوف;O
655;تشينهوي;B-LOC
656;عباره;O
657;كهوف;O
658;الحجر;O
659;الجيري;O
660;والدولوميت;O
661;محاطه;O
662;بمساحات;O
663;خضراء;O
664;واسعه;O
665;ومورقه;O
666;يمكنك;O
667;القيام;O
668;باستكشاف;B-AC
669;الحياه;I-AC
670;البريه;I-AC
671;والمتنزهات;O
672;زياره;O
673;المسبح;O
674;الطبيعي;O
675;داخل;O
676;الكهوف;O
677;فيعد;O
678;تجربه;O
679;مليئه;O
680;بالمغامرات;O
681;المثيره;O
682;يعد;O
683;اهم;O
684;مناطق;O
685;الجذب;O
686;المثيره;O
687;للاعجاب;O
688;زيمبابوي;B-LOC
689;فضلا;O
690;استكشاف;B-AC
691;انواع;I-AC
692;عديده;I-AC
693;الطيور;I-AC
694;شلالات;B-LF
695;فيكتوريا;I-LF
696;شلالات;B-LF
697;اجمل;O
698;شلالات;B-LF
699;العالم;O
700;وتقع;O
701;نهر;B-LF
702;الزمبيزي;I-LF
703;يصب;O
704;المحيط;B-LF
705;الهندي;I-LF
706;ويقع;O
707;دوله;O
708;زامبيا;O
709;وخصوصا;O
710;واقعه;O
711;حدود;O
712;دولتي;O
713;زامبيا;O
714;وزيمبابوي;B-LOC
715;والواقعه;O
716;قاره;O
717;افريقيا;B-LOC
718;بحيره;B-LF
719;فيكتوريا;I-LF
720;واحده;O
721;البحيرات;O
722;الكبري;O
723;افريقيا;B-LOC
724;اكبر;O
725;بحيره;B-LF
726;العالم;O
727;تغطي;O
728;مساحتها;O
729;لحوالي;O
730;68800;O
731;كيلومتر;O
732;مربع;O
733;(;O
734;26560;O
735;ميل;O
736;²;O
737;);O
738;الحجم;O
739;تقع;O
740;بحيره;B-LF
741;فكتوريا;I-LF
742;تنزانيا;B-LOC
743;واوغندا;B-LOC
744;جزء;O
745;صغير;O
746;يمتد;O
747;كينيا;B-LOC
748;انها;O
749;تحتوي;O
750;الخزان;O
751;الرئيسي;O
752;لنهر;B-LF
753;النيل;I-LF
754;تعد;O
755;اكبر;O
756;بحيره;B-LF
757;للمياه;O
758;العذبه;O
759;افريقيا;B-LOC
760;المعروف;O
761;بان;O
762;بحيره;B-LF
763;فيكتوريا;I-LF
764;تحتوي;O
765;وفره;O
766;الاسماك;O
767;يتم;O
768;تصديرها;O
769;الصيادين;O
770;المحلين;O
771;والتجار;O
772;اكثر;O
773;200;O
774;نوعا;O
775;الاسماك;O
776;تجعل;O
777;مساهمه;O
778;كبيره;O
779;اقتصادات;O
780;شرق;O
781;افريقيا;B-LOC
782;يمكنك;O
783;تاخذ;O
784;رحله;B-AC
785;متن;O
786;قارب;O
787;بحيره;B-LF
788;فيكتوريا;I-LF
789;عتقد;O
790;بحيره;B-LF
791;بونيوني;I-LF
792;ثاني;O
793;اعمق;O
794;بحيره;B-LF
795;افريقيا;I-LF
796;وتقع;O
797;بحيره;B-LF
798;بونيوني;I-LF
799;الجزء;O
800;الجنوبي;O
801;الغربي;O
802;اوغندا;B-LOC
803;بالقرب;O
804;الحدود;O
805;الروانديهعلي;O
806;ارتفاع;O
807;1962;O
808;مترا;O
809;تقريبا;O
810;فوق;O
811;مستوي;O
812;سطح;O
813;البحر;O
814;وتتمتع;O
815;البحيره;B-LF
816;السحريه;I-LF
817;بدرجات;B-WH
818;حراره;I-WH
819;معتدله;I-WH
820;مدار;O
821;السنه;O
822;وعاده;O
823;البحيره;B-LF
824;بارده;O
825;ساعات;O
826;الصباح;O
827;والمساء;O
828;تشمل;O
829;الانشطه;B-AC
830;البحيره؛;I-AC
831;الاسماك;O
832;والتجديف;B-AC
833;وغيرها;O
834;الانشطه;O
835;الممتعه;O
836;تقع;O
837;بحيره;B-LF
838;كاباكا;I-LF
839;امتار;O
840;قليله;O
841;العاصمه;O
842;ويحدها;O
843;احد;O
844;التلال;B-LF
845;السبعه;I-LF
846;الرئيسيه;O
847;تعد;O
848;البحيره;B-LF
849;بمياهها;O
850;اللون;O
851;الفيروزي;O
852;موطن;O
853;العديد;O
854;اسراب;O
855;الطيور;O
856;البلشون;O
857;ويمكن;O
858;ركوب;B-AC
859;القوارب;I-AC
860;داخل;O
861;البحيره;B-LF
862;للاستمتاع;O
863;بجمال;O
864;الطبيعه;O
865;تعد;O
866;حديقه;O
867;بويندي;O
868;الوطنيه;O
869;تقع;O
870;حافه;O
871;الوادي;B-LF
872;المتصدع;I-LF
873;المنطقه;O
874;الجنوبيه;O
875;الغربيه;O
876;البلاد;O
877;واحده;O
878;افضل;O
879;المتنزهات;O
880;الوطنيه;O
881;اوغندا;B-LOC
882;تؤوي;O
883;الحديقه;O
884;اكثر;O
885;400;O
886;الغوريلا;O
887;الجبليه;O
888;واكثر;O
889;120;O
890;نوعا;O
891;الثديات;O
892;و48;O
893;نوعا;O
894;الطيور;O
895;و220;O
896;نوعا;O
897;الفراشات;O
898;واكثر;O
899;100;O
900;نوعا;O
901;الزهور;O
902;البريه;O
903;قرطاج;B-LOC
904;مدينه;O
905;اخري;O
906;قريبه;O
907;العاصمه;O
908;التونسيه;O
909;تبعد;O
910;ثلاث;O
911;محطات;O
912;بالقطار;O
913;سيدي;O
914;بو;O
915;سعيد;O
916;بالطبع;O
917;موطن;O
918;لمجموعه;O
919;الاثار;O
920;الرومانيه;O
921;الشهيره;O
922;تستحق;O
923;الاكتشاف;O
924;بالاضافه;O
925;للحمامات;O
926;الانطونيه;O
927;الاثريه;O
928;المثيره;O
929;للاعجاب;O
930;واحده;O
931;مواقع;O
932;التراث;O
933;العالمي;O
934;لليونسكو;O
935;تقع;O
936;مدينه;O
937;دوز;B-LOC
938;غرب;O
939;جنوب;O
940;مدينه;O
941;مطماطه;O
942;مدينه;O
943;قلب;O
944;الصحراء;B-LF
945;الكثير;O
946;الكثبان;B-LF
947;الرمليه;I-LF
948;الصحراويه;I-LF
949;ويقام;B-AC
950;مهرجان;I-AC
951;صحراء;O
952;سنوي;O
953;تقام;O
954;الاحتفالات;B-AC
955;الممتعه;I-AC
956;بالرقص;O
957;بالاحصنه;O
958;والرقص;O
959;البدوي;O
960;واعداد;O
961;اجمل;O
962;الاطعمه;O
963;البدويه;O
964;ومباريات;O
965;ركوب;B-AC
966;الخيل;I-AC
967;والجمال;I-AC
968;ويمكنك;O
969;تجربه;O
970;العديد;O
971;الامور;O
972;الرائعه;O
973;تمثل;O
974;مغامره;O
975;جديده;O
976;تضيفها;O
977;لايام;O
978;عمرك;O
979;السعيده;O
980;كركوب;B-AC
981;الجمال;I-AC
982;الصحراء;B-LF
983;وتناول;O
984;الغداء;O
985;خيمه;O
986;بدويه;O
987;تمتع;O
988;تنزانيا;B-LOC
989;بمناخ;B-WH
990;مداري;I-WH
991;رطب;I-WH
992;انها;O
993;تضم;O
994;انماطا;O
995;متعدده;O
996;المناخ;O
997;ففي;O
998;الاراضي;O
999;المنخفضه;O
1000;الساحليه;O
1001;الطقس;B-WH
1002;حارا;I-WH
1003;ورطبا;I-WH
1004;خاصه;O
1005;شاطئ;B-LF
1006;المحيط;B-LF
1007;الهندي;I-LF
1008;المنطقه;O
1009;الوسطي;O
1010;والجنوبيه;O
1011;الطقس;B-WH
1012;جافا;I-WH
1013;اذ;O
1014;تقل;O
1015;درجات;B-WH
1016;الحراره;I-WH
1017;المرتفعات;B-WH
1018;وتزداد;O
1019;الامطار;B-WH
1020;السفوح;O
1021;يبلغ;O
1022;معدل;O
1023;هطول;O
1024;الامطار;O
1025;حوالي;O
1026;750;O
1027;ملم;O
1028;سنويا;O
1029;يعد;O
1030;جبل;B-LF
1031;كليمنجارو;I-LF
1032;اعلي;O
1033;قمه;O
1034;افريقيا;B-LOC
1035;بارتفاع;O
1036;5,895;O
1037;مترا;O
1038;انها;O
1039;ابرز;O
1040;معالم;O
1041;السياحه;O
1042;تنزانيا;B-LOC
1043;شكل;O
1044;الجبل;O
1045;اكثر;O
1046;مليون;O
1047;عام;O
1048;بواسطه;O
1049;انفجار;O
1050;بركاني;O
1051;طول;O
1052;الوادي;B-LF
1053;المتصدع;I-LF
1054;ويضم;O
1055;الجبل;B-LF
1056;3;O
1057;مخاريط;O
1058;بركانيه؛;O
1059;شيرا;O
1060;وكيبو;O
1061;وماوينزي;O
1062;تعد;O
1063;منحدرات;B-LF
1064;الغابات;I-LF
1065;المطيره;O
1066;الجبل;B-LF
1067;موطنا;O
1068;للجاموس;O
1069;والنمور;O
1070;والقرود;O
1071;والفيله;O
1072;تشتهر;O
1073;حديقه;O
1074;سيرينجيتي;O
1075;الوطنيه;O
1076;بهجره;O
1077;الحيوانات;O
1078;البريه;O
1079;السنويه;O
1080;موطن;O
1081;ل;O
1082;500;O
1083;نوعا;O
1084;الطيور;O
1085;تجذب;O
1086;حديقه;O
1087;سيرينجيتي;O
1088;الوطنيه;O
1089;باعتبارها;O
1090;ثاني;O
1091;اكبر;O
1092;حديقه;O
1093;وطنيه;O
1094;تنزانيا;O
1095;عشرات;O
1096;السياح;O
1097;لمشاهده;O
1098;الحياه;O
1099;البريه;O
1100;شهر;O
1101;ديسمبر;O
1102;يونيو;O
1103;تقع;O
1104;مدينه;B-LOC
1105;ستون;I-LOC
1106;تاون;O
1107;قلب;O
1108;زنجبار;O
1109;تشتهر;O
1110;كثيرا;O
1111;بالمنازل;O
1112;العربيه;O
1113;القديمه;O
1114;الكبيره;O
1115;تصطف;O
1116;جانبي;O
1117;الشوارع;O
1118;الضيقه;O
1119;والازقه;O
1120;المتعرجه;O
1121;يعود;O
1122;تاريخها;O
1123;القرن;O
1124;التاسع;O
1125;عشر;O
1126;تحتوي;O
1127;المدينه;O
1128;كنائس;O
1129;قديمه;O
1130;مثيره;O
1131;للاهتمام;O
1132;اهميه;O
1133;تاريخيه;O
1134;وتشمل;O
1135;المعالم;O
1136;البارزه;O
1137;المدينه;O
1138;حدائق;O
1139;فورودهاني;O
1140;والمستوصف;O
1141;القديم;O
1142;بشرفاته;O
1143;الخشبيه;O
1144;المنحوته;O
1145;وحمامات;O
1146;فارسيه;O
1147;بنيت;O
1148;عام;O
1149;188;O
1150;بحيره;B-LF
1151;فيكتوريا;I-LF
1152;اكبر;O
1153;بحيره;B-LF
1154;للمياه;O
1155;العذبه;O
1156;افريقيا;B-LOC
1157;وتحدها;O
1158;كينيا;B-LOC
1159;وتنزانيا;B-LOC
1160;واوغندا;B-LOC
1161;البحيره;B-LF
1162;مصدر;O
1163;النيل;B-LOC
1164;الابيض;O
1165;وتوفر;O
1166;دخلا;O
1167;لملاين;O
1168;السكان;O
1169;طول;O
1170;شواطئها;O
1171;القيام;B-AC
1172;برحلات;I-AC
1173;مشاهده;B-AC
1174;الطيور;I-AC
1175;وصيد;B-AC
1176;الاسماك;I-AC
1177;ورحلات;B-AC
1178;القوارب;I-AC
1179;المشي;B-AC
1180;لمسافات;I-AC
1181;طويله;I-AC
1182;بحيره;B-LF
1183;فيكتوريا;I-LF
1184;ميز;O
1185;جبل;B-LF
1186;مره;I-LF
1187;بانه;O
1188;منطقه;O
1189;ماهوله;O
1190;بالسكان;O
1191;يقع;O
1192;وسط;O
1193;منطقه;O
1194;خضراء;O
1195;طبيعيه;O
1196;خلابه;O
1197;يتوسطها;B-LF
1198;شلال;I-LF
1199;ساحر;I-LF
1200;خلاب;O
1201;يسمي;O
1202;شلال;O
1203;قلول;O
1204;ويعتبر;O
1205;منطقه;O
1206;جذب;O
1207;سياحي;O
1208;رائعه;O
1209;وشعبيه;O
1210;خيث;O
1211;الطبيعه;O
1212;الخلابه;O
1213;والجو;B-WH
1214;المعتدل;I-WH
1215;والبيئه;O
1216;الطبيعيه;O
1217;النقيه;O
1218;ويمكنك;O
1219;تسلق;B-AC
1220;الجبل;I-AC
1221;ومشاهده;O
1222;البلد;O
1223;الاعلي;O
1224;مسافه;O
1225;عاليه;O
1226;وتستمتع;O
1227;بالنظر;O
1228;السحاب;O
1229;الاعلي;O
1230;والغزلان;O
1231;تتجول;O
1232;الجبل;B-LF
1233;يتميز;O
1234;بجود;O
1235;العديد;O
1236;الفواكه;O
1237;والموالح;O
1238;تنمو;O
1239;نظرا;O
1240;لمناخه;O
1241;يساعد;O
1242;تمتع;O
1243;مدينه;B-LOC
1244;نيوم;I-LOC
1245;السعوديه;B-LOC
1246;بمناخ;B-WH
1247;معتدل;I-WH
1248;صيفا;O
1249;وشتاء;O
1250;تتراوح;O
1251;درجات;O
1252;الحراره;O
1253;سنويا;O
1254;11;O
1255;درجه;O
1256;مئويه;O
1257;35;O
1258;درجه;O
1259;مئويه;O
1260;تتمتع;O
1261;بالنسيم;O
1262;العالي;O
1263;القادمه;O
1264;البحر;B-LF
1265;الاحمر;I-LF
1266;يسهم;O
1267;اعتدال;B-WH
1268;درجات;I-WH
1269;الحراره;I-WH
1270;تقع;O
1271;نيوم;B-LOC
1272;السعوديه;B-LOC
1273;ساحل;O
1274;البحر;B-LF
1275;الاحمر;I-LF
1276;شمال;O
1277;غرب;O
1278;المملكه;B-LOC
1279;العربيه;I-LOC
1280;السعوديه;I-LOC
1281;وتعد;O
1282;وجهه;O
1283;رائعه;O
1284;لاصحاب;O
1285;المشاريع;O
1286;الاستثماريه;O
1287;لرفع;O
1288;مستوي;O
1289;المنطقه;O
1290;تتمتع;O
1291;نيوم;B-LOC
1292;بتضاريس;B-LF
1293;متنوعه;O
1294;ومذهله;O
1295;انها;O
1296;تضم;O
1297;بشواطئ;O
1298;خلابه;O
1299;سواحل;O
1300;تمتد;O
1301;لاكثر;O
1302;450;O
1303;كيلومترا;O
1304;جانب;O
1305;العديد;O
1306;الجزر;B-LF
1307;الطبيعه;O
1308;الاخاذه;O
1309;وعددا;O
1310;الجبال;B-LF
1311;تطل;O
1312;خليج;B-LF
1313;العقبه;I-LF
1314;والبحر;B-LF
1315;الاحمر;I-LF
1316;تكتسي;O
1317;قممها;O
1318;بالثلوج;O
1319;بفصل;O
1320;الشتاء;O
1321;مقارنه;O
1322;بباقي;O
1323;مدن;O
1324;السعوديه;B-LOC
1325;جزيره;B-LF
1326;غوري;I-LF
1327;تقع;O
1328;قباله;O
1329;ساحل;O
1330;داكار;O
1331;وتحتوي;O
1332;الكثير;O
1333;المواقع;O
1334;الاثريه;O
1335;فهي;O
1336;تعتبر;O
1337;واحده;O
1338;مواقع;O
1339;التراث;O
1340;العالمي;O
1341;لليونسكو;O
1342;جانب;O
1343;متحف;O
1344;ايفان;O
1345;الثقافي;O
1346;المخصص;O
1347;لعرض;O
1348;الفنون;O
1349;والثقافه;O
1350;السنغاليه;O
1351;ويقع;O
1352;الجزيره;O
1353;مركز;O
1354;رئيسي;O
1355;لتجاره;O
1356;الرقيق;O
1357;الافريقي;O
1358;بحيره;B-LF
1359;ريتابا;I-LF
1360;وتعرف;O
1361;باسم;O
1362;الحيره;O
1363;الورديه;O
1364;بسبب;O
1365;الملح;O
1366;والبكتيريا;O
1367;الفريده;O
1368;يمنحانها;O
1369;اللون;O
1370;الوردي;O
1371;المائل;O
1372;للارجواني;O
1373;ملامسه;O
1374;اشعه;O
1375;الشمس;O
